"hex_4000km","assessed_num","ki_num","food_situation_improved","food_situation_NC","food_situation_remained_same","food_situation_worse","food_source_bought_cash","food_source_given_someone","food_price_changed_prices_increased","access_healthservices_no","protection_incidents_none_no","dam_shelters_reason_conflict_looting","dam_shelters_reason_fire","dam_shelters_reason_flooding","shelters_not_rebuilt_around_half","shelters_not_rebuilt_less_half","shelters_not_rebuilt_more_half","handwashing_access_no","health_workers_available_yes","dam_shelter_yes","education_bar_cost_stud","shelters_not_rebuilt_dummy_NC","shelters_not_rebuilt_dummy_no","shelters_not_rebuilt_dummy_SL","shelters_not_rebuilt_dummy_yes"
"S-43",8,11,"0 (0, 0)","0 (0, 0)","0.25 (-0.05, 0.55)","0.75 (0.45, 1.05)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.75 (0.45, 1.05)","0.75 (0.45, 1.05)","0.12 (-0.1, 0.35)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.12 (-0.1, 0.35)","0 (0, 0)","0.62 (0.29, 0.96)","0 (0, 0)","0.12 (-0.1, 0.35)","0.12 (-0.1, 0.35)","0 (0, 0)","0.38 (0.04, 0.71)","0.62 (0.29, 0.96)","0 (0, 0)"
"S-48",4,7,"0 (0, 0)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","1 (1, 1)","0.75 (0.32, 1.18)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.75 (0.32, 1.18)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","0 (0, 0)"
"S-49",3,3,"0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)"
"S-50",2,3,"0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)"
"S-55",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"S-56",3,9,"0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","1 (1, 1)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)"
"S-57",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"S-58",3,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.67 (0.13, 1.2)","0 (0, 0)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","1 (1, 1)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","1 (1, 1)","0.67 (0.13, 1.2)","0.67 (0.13, 1.2)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)"
"T-42",1,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"T-43",4,6,"0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (0.01, 0.99)","0.75 (0.32, 1.18)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0 (0, 0)"
"T-47",1,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"T-48",1,1,"0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"T-49",7,14,"0.29 (-0.05, 0.62)","0 (0, 0)","0.14 (-0.12, 0.4)","0.57 (0.2, 0.94)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.57 (0.2, 0.94)","0.71 (0.38, 1.05)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.43 (0.06, 0.8)","0.29 (-0.05, 0.62)","0 (0, 0)","0.43 (0.06, 0.8)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"T-51",1,2,"0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"T-55",1,4,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"T-56",2,9,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)"
"T-57",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"U-42",3,3,"0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0.33 (-0.2, 0.87)","0.33 (-0.2, 0.87)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)","0 (0, 0)"
"U-43",5,7,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.8 (0.45, 1.15)","0.8 (0.45, 1.15)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.4 (-0.03, 0.83)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"U-48",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"U-55",3,17,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.33 (-0.2, 0.87)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.67 (0.13, 1.2)","1 (1, 1)","0 (0, 0)","0.67 (0.13, 1.2)","0 (0, 0)","0 (0, 0)","0.33 (-0.2, 0.87)","0.67 (0.13, 1.2)"
"V-43",2,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"V-44",2,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"V-55",15,46,"0.13 (-0.04, 0.31)","0 (0, 0)","0.07 (-0.06, 0.19)","0.8 (0.6, 1)","0.13 (-0.04, 0.31)","0.07 (-0.06, 0.19)","1 (1, 1)","0.47 (0.21, 0.72)","0.53 (0.28, 0.79)","0.07 (-0.06, 0.19)","0.27 (0.04, 0.49)","0 (0, 0)","0.33 (0.09, 0.57)","0.07 (-0.06, 0.19)","0 (0, 0)","0.93 (0.81, 1.06)","0.2 (0, 0.4)","0.33 (0.09, 0.57)","0.27 (0.04, 0.49)","0.07 (-0.06, 0.19)","0.13 (-0.04, 0.31)","0.47 (0.21, 0.72)","0.33 (0.09, 0.57)"
"V-56",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)"
"W-43",1,1,"0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"W-44",1,1,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"W-50",1,4,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"W-51",1,1,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"W-52",2,7,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)"
"W-54",13,30,"0 (0, 0)","0 (0, 0)","0.15 (-0.04, 0.35)","0.85 (0.65, 1.04)","0.38 (0.12, 0.65)","0.08 (-0.07, 0.22)","1 (1, 1)","0.77 (0.54, 1)","0.54 (0.27, 0.81)","0.23 (0, 0.46)","0 (0, 0)","0.08 (-0.07, 0.22)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.15 (-0.04, 0.35)","0.31 (0.06, 0.56)","0.31 (0.06, 0.56)","0 (0, 0)","0 (0, 0)","0.69 (0.44, 0.94)","0.08 (-0.07, 0.22)"
"W-55",5,11,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","1 (1, 1)","0.4 (-0.03, 0.83)","0.8 (0.45, 1.15)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0.8 (0.45, 1.15)","0.2 (-0.15, 0.55)","0 (0, 0)","0.4 (-0.03, 0.83)","0.2 (-0.15, 0.55)"
"X-48",1,1,"0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"X-50",4,6,"0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0.5 (0.01, 0.99)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)"
"X-51",10,16,"0.3 (0.02, 0.58)","0.1 (-0.09, 0.29)","0 (0, 0)","0.6 (0.3, 0.9)","0.3 (0.02, 0.58)","0.4 (0.1, 0.7)","0.4 (0.1, 0.7)","0.7 (0.42, 0.98)","1 (1, 1)","0.4 (0.1, 0.7)","0.3 (0.02, 0.58)","0.1 (-0.09, 0.29)","0.5 (0.19, 0.81)","0 (0, 0)","0.1 (-0.09, 0.29)","0.8 (0.55, 1.05)","0.5 (0.19, 0.81)","0.8 (0.55, 1.05)","0.2 (-0.05, 0.45)","0 (0, 0)","0 (0, 0)","0.2 (-0.05, 0.45)","0.7 (0.42, 0.98)"
"X-52",2,3,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)"
"X-54",5,13,"0.6 (0.17, 1.03)","0 (0, 0)","0 (0, 0)","0.4 (-0.03, 0.83)","0.2 (-0.15, 0.55)","0 (0, 0)","1 (1, 1)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0 (0, 0)","0.4 (-0.03, 0.83)","0.2 (-0.15, 0.55)","0 (0, 0)","0.8 (0.45, 1.15)","0.4 (-0.03, 0.83)","0.6 (0.17, 1.03)","0.4 (-0.03, 0.83)","0 (0, 0)","0.2 (-0.15, 0.55)","0.4 (-0.03, 0.83)","0.4 (-0.03, 0.83)"
"X-55",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"Y-49",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"Y-50",6,11,"0.33 (-0.05, 0.71)","0.17 (-0.13, 0.47)","0 (0, 0)","0.5 (0.1, 0.9)","0.33 (-0.05, 0.71)","0.17 (-0.13, 0.47)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)","0.83 (0.53, 1.13)","0 (0, 0)","0.5 (0.1, 0.9)","0 (0, 0)","0.17 (-0.13, 0.47)","0 (0, 0)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)","0.5 (0.1, 0.9)","0.67 (0.29, 1.05)","0.17 (-0.13, 0.47)","0 (0, 0)","0 (0, 0)","0.33 (-0.05, 0.71)","0.67 (0.29, 1.05)"
"Y-51",1,2,"0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)"
"Y-52",1,1,"1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0 (0, 0)","1 (1, 1)","0 (0, 0)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"Y-53",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"Z-50",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","1 (1, 1)","1 (1, 1)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","1 (1, 1)"
"Z-51",2,2,"0.5 (-0.2, 1.2)","0 (0, 0)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0.5 (-0.2, 1.2)","0 (0, 0)","1 (1, 1)","0.5 (-0.2, 1.2)","1 (1, 1)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)","0 (0, 0)","0.5 (-0.2, 1.2)"
"Z-52",5,12,"0.4 (-0.03, 0.83)","0 (0, 0)","0 (0, 0)","0.6 (0.17, 1.03)","0 (0, 0)","0.4 (-0.03, 0.83)","1 (1, 1)","0.6 (0.17, 1.03)","0.8 (0.45, 1.15)","0.6 (0.17, 1.03)","0.4 (-0.03, 0.83)","0 (0, 0)","0.6 (0.17, 1.03)","0 (0, 0)","0.2 (-0.15, 0.55)","1 (1, 1)","0 (0, 0)","1 (1, 1)","0.8 (0.45, 1.15)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0.8 (0.45, 1.15)"
"Z-53",4,7,"0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","0.75 (0.32, 1.18)","0.75 (0.32, 1.18)","0.75 (0.32, 1.18)","0.5 (0.01, 0.99)","0.25 (-0.18, 0.68)","0 (0, 0)","0.25 (-0.18, 0.68)","0 (0, 0)","0 (0, 0)","0.75 (0.32, 1.18)","0.25 (-0.18, 0.68)","0.75 (0.32, 1.18)","0.5 (0.01, 0.99)","0 (0, 0)","0 (0, 0)","0.25 (-0.18, 0.68)","0.25 (-0.18, 0.68)"
